Front	Back	Tags
Digital certificate (X.509)	Electronic document binding a public key to an identity. Signed by a CA. Used for HTTPS, SSL/TLS, IPsec. <br><br><span style="color:#888">5.4.e.1 · weight: high</span>	ccna domain5 topic5.4 subtopic5.4.e weight_high
Certificate Authority (CA)	Trusted third party that signs certificates. Chain of trust: root CA → intermediate CA → end-entity cert. <br><br><span style="color:#888">5.4.e.2 · weight: high</span>	ccna domain5 topic5.4 subtopic5.4.e weight_high
X.509 contents	Subject (owner), Issuer (CA), public key, validity (not-before/not-after), serial number, signature. <br><br><span style="color:#888">5.4.e.3 · weight: high</span>	ccna domain5 topic5.4 subtopic5.4.e weight_high
PKI	Public Key Infrastructure. Framework for issuing, distributing, and revoking digital certificates. <br><br><span style="color:#888">5.4.e.4 · weight: med</span>	ccna domain5 topic5.4 subtopic5.4.e weight_med
Biometrics	'Something you ARE.' Fingerprint, iris, facial recognition, voice. Physical characteristics. <br><br><span style="color:#888">5.4.f.1 · weight: high</span>	ccna domain5 topic5.4 subtopic5.4.f weight_high
Biometric disadvantage	CANNOT BE CHANGED if compromised. Unlike passwords, you can't reset your fingerprint. <br><br><span style="color:#888">5.4.f.2 · weight: high</span>	ccna domain5 topic5.4 subtopic5.4.f weight_high
FAR / FRR / CER	FAR = False Accept Rate (bad). FRR = False Reject Rate. CER = Crossover Error Rate (FAR=FRR, tuning point). <br><br><span style="color:#888">5.4.f.3 · weight: low</span>	ccna domain5 topic5.4 subtopic5.4.f weight_low
VPN	Virtual Private Network. Creates a secure encrypted tunnel across an untrusted network (internet). <br><br><span style="color:#888">5.5.a.1 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.a weight_high
Site-to-site VPN	Always-on router-to-router (or firewall-to-firewall). Connects entire networks. <br><br><span style="color:#888">5.5.a.2 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.a weight_high
Remote access VPN	On-demand client-to-router. Individual user VPN (AnyConnect, OpenVPN, WireGuard). <br><br><span style="color:#888">5.5.a.3 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.a weight_high
Traveling employee scenario	Remote access VPN. Single user needs access from anywhere. AnyConnect client connects to HQ. <br><br><span style="color:#888">5.5.b.1 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.b weight_high
Branch-to-HQ always-on scenario	Site-to-site VPN. Branch office connects to HQ continuously. Users don't know VPN exists. <br><br><span style="color:#888">5.5.b.2 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.b weight_high
Clientless SSL VPN	Remote access via browser HTTPS. No VPN client software required. Limited to web-based apps. <br><br><span style="color:#888">5.5.b.3 · weight: med</span>	ccna domain5 topic5.5 subtopic5.5.b weight_med
Confidentiality (IPsec)	Data CAN'T BE READ by eavesdroppers. Provided by encryption (AES, 3DES, DES). <br><br><span style="color:#888">5.5.c.1 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.c weight_high
Integrity (IPsec)	Data HAS NOT BEEN MODIFIED in transit. Provided by HMAC hashing (MD5, SHA). <br><br><span style="color:#888">5.5.c.2 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.c weight_high
Authentication (IPsec)	Confirms peer IDENTITY. Provided by pre-shared keys (PSK) or digital certificates. <br><br><span style="color:#888">5.5.c.3 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.c weight_high
Anti-replay (IPsec)	Prevents attacker from re-sending captured packets. Sequence numbers detect replays. <br><br><span style="color:#888">5.5.c.4 · weight: med</span>	ccna domain5 topic5.5 subtopic5.5.c weight_med
AH (Authentication Header)	IP protocol 51. Provides integrity + auth BUT NOT encryption. Authenticates entire packet including IP header. <br><br><span style="color:#888">5.5.d.1 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.d weight_high
AH + NAT incompatibility	AH authenticates the IP header. NAT changes the IP header → AH breaks. Can't use AH through NAT. <br><br><span style="color:#888">5.5.d.2 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.d weight_high
AH = protocol number 51	IP protocol 51, not TCP/UDP. Memorize. <br><br><span style="color:#888">5.5.d.3 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.d weight_high
ESP (Encapsulating Security Payload)	IP protocol 50. Provides encryption + integrity + auth. Standard IPsec choice in modern VPNs. <br><br><span style="color:#888">5.5.e.1 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.e weight_high
ESP = protocol 50	IP protocol 50. AH = 51. ESP is the one with encryption. <br><br><span style="color:#888">5.5.e.2 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.e weight_high
ESP works with NAT	ESP doesn't include IP header in authentication. NAT traversal (UDP 4500) makes it work across NAT. <br><br><span style="color:#888">5.5.e.3 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.e weight_high
ESP vs AH rule	Use ESP (encryption). AH only provides integrity. Modern deployments use ESP exclusively. <br><br><span style="color:#888">5.5.e.4 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.e weight_high
IKE Phase 1	Authenticate peers, build bidirectional management (ISAKMP) SA. Happens first. <br><br><span style="color:#888">5.5.f.1 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.f weight_high
IKE Phase 2	Negotiate IPsec SAs (one per direction) for data traffic. Uses the Phase 1 tunnel to protect negotiation. <br><br><span style="color:#888">5.5.f.2 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.f weight_high
Phase order	Phase 1 ALWAYS first. Phase 2 can't happen without Phase 1 because it negotiates inside the P1 tunnel. <br><br><span style="color:#888">5.5.f.3 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.f weight_high
Phase 1 = 1 bidirectional SA	ISAKMP SA. Used only for Phase 2 negotiation. Not for user data. <br><br><span style="color:#888">5.5.g.1 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.g weight_high
Phase 2 = 2 unidirectional SAs	IPsec SAs. One for inbound, one for outbound. Protect actual data traffic. <br><br><span style="color:#888">5.5.g.2 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.g weight_high
Quick Mode (Phase 2)	Phase 2 negotiation mode. Faster than Phase 1 because it reuses the P1 tunnel. <br><br><span style="color:#888">5.5.g.3 · weight: med</span>	ccna domain5 topic5.5 subtopic5.5.g weight_med
IPsec Tunnel mode	Entire original packet (incl. IP header) encrypted and wrapped in new IP header. Hides original IPs. Site-to-site default. <br><br><span style="color:#888">5.5.h.1 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.h weight_high
IPsec Transport mode	Only payload encrypted. Original IP header preserved. Used host-to-host (end-to-end, not gateway-to-gateway). <br><br><span style="color:#888">5.5.h.2 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.h weight_high
Which hides original IP?	TUNNEL mode. Transport mode leaves IP header visible. Exam test point. <br><br><span style="color:#888">5.5.h.3 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.h weight_high
Site-to-site = Tunnel mode	Gateway-to-gateway IPsec always uses Tunnel mode. Entire original packet hidden inside the tunnel. <br><br><span style="color:#888">5.5.i.1 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.i weight_high
Host-to-host = Transport mode	End-to-end IPsec (e.g., between two servers). Transport mode protects just the payload. <br><br><span style="color:#888">5.5.i.2 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.i weight_high
GRE	Generic Routing Encapsulation. Cisco tunneling protocol. Carries multicast/broadcast and multiple L3 protocols. <br><br><span style="color:#888">5.5.j.1 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.j weight_high
IPsec can't carry multicast	Pure IPsec is unicast only. Routing protocols (OSPF, EIGRP) use multicast, so pure IPsec can't run them. <br><br><span style="color:#888">5.5.j.2 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.j weight_high
GRE over IPsec	Wrap traffic in GRE (adds multicast support) then encrypt with IPsec. Enables OSPF over VPN. <br><br><span style="color:#888">5.5.j.3 · weight: high</span>	ccna domain5 topic5.5 subtopic5.5.j weight_high
DMVPN	Dynamic Multipoint VPN. Cisco solution for scalable hub-and-spoke with dynamic spoke-to-spoke tunnels. <br><br><span style="color:#888">5.5.j.4 · weight: med</span>	ccna domain5 topic5.5 subtopic5.5.j weight_med
Standard ACL	Matches source IP ONLY. Numbered 1-99, 1300-1999. Simple, broad filtering. <br><br><span style="color:#888">5.6.a.1 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.a weight_high
Standard ACL placement	As close to DESTINATION as possible. Broad source matching means you'd block legitimate traffic if placed near source. <br><br><span style="color:#888">5.6.a.2 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.a weight_high
Standard ACL syntax	'access-list [1-99] {permit|deny} [source] [wildcard]'. Or named: 'ip access-list standard [name]'. <br><br><span style="color:#888">5.6.a.3 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.a weight_high
host keyword	Shortcut for exact match. 'host 10.1.1.1' = '10.1.1.1 0.0.0.0'. <br><br><span style="color:#888">5.6.a.4 · weight: med</span>	ccna domain5 topic5.6 subtopic5.6.a weight_med
any keyword	Shortcut for all. 'any' = '0.0.0.0 255.255.255.255'. <br><br><span style="color:#888">5.6.a.5 · weight: med</span>	ccna domain5 topic5.6 subtopic5.6.a weight_med
Extended ACL	Matches source + destination + protocol + port. Numbered 100-199, 2000-2699. Granular filtering. <br><br><span style="color:#888">5.6.b.1 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.b weight_high
Extended ACL placement	As close to SOURCE as possible. Granular match = can block specific traffic without affecting others. <br><br><span style="color:#888">5.6.b.2 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.b weight_high
Extended ACL syntax	'access-list [100-199] {permit|deny} [proto] [src wildcard] [dst wildcard] [operator port]'. <br><br><span style="color:#888">5.6.b.3 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.b weight_high
Port operators	eq (equals), gt, lt, neq, range. Example: 'eq 80' matches HTTP. 'range 20 21' matches FTP. <br><br><span style="color:#888">5.6.b.4 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.b weight_high
Named ACL	Alternative to numbered. 'ip access-list {standard|extended} [name]' → sub-config mode. <br><br><span style="color:#888">5.6.c.1 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.c weight_high
Sequence numbers	Each ACE has a seq number (10, 20, 30...). Insert by specifying seq. Delete with 'no [seq#]'. <br><br><span style="color:#888">5.6.c.2 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.c weight_high
resequence command	'ip access-list resequence [name] [start] [increment]'. Renumber entries for easier insertion. <br><br><span style="color:#888">5.6.c.3 · weight: med</span>	ccna domain5 topic5.6 subtopic5.6.c weight_med
Wildcard mask	INVERSE of subnet mask. 0 = must match, 1 = don't care. 255.255.255.0 → 0.0.0.255. <br><br><span style="color:#888">5.6.d.1 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.d weight_high
Quick math: 255 − mask octet	/24 mask 255.255.255.0 → 0.0.0.255. /26 mask ...192 → 255-192=63 → 0.0.0.63. <br><br><span style="color:#888">5.6.d.2 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.d weight_high
Single host wildcard	0.0.0.0 = exact IP match. 'host X.X.X.X' is shortcut for 'X.X.X.X 0.0.0.0'. <br><br><span style="color:#888">5.6.d.3 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.d weight_high
host keyword	'host 10.1.1.1' = '10.1.1.1 0.0.0.0'. Exact single-host match. <br><br><span style="color:#888">5.6.e.1 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.e weight_high
any keyword	'any' = '0.0.0.0 255.255.255.255'. Matches all IPs. <br><br><span style="color:#888">5.6.e.2 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.e weight_high
Both forms valid	Exam uses both. 'permit host 10.1.1.1' and 'permit 10.1.1.1 0.0.0.0' are identical. <br><br><span style="color:#888">5.6.e.3 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.e weight_high
Implicit deny any	Every ACL has invisible 'deny any' at the end. Traffic NOT explicitly permitted = BLOCKED. <br><br><span style="color:#888">5.6.f.1 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.f weight_high
Always end with explicit deny?	Optional but best practice — makes implicit deny visible. Also enables match-counter logging. <br><br><span style="color:#888">5.6.f.2 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.f weight_high
Missing permit any trap	ACL only permits specific traffic → everything else silently dropped. Classic exam 'what's broken?' scenario. <br><br><span style="color:#888">5.6.f.3 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.f weight_high
Top-down processing	Router evaluates ACEs in order (sequence number). First match wins. Stops processing immediately. <br><br><span style="color:#888">5.6.g.1 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.g weight_high
Order matters	Specific rules must come BEFORE general rules. 'deny host X' above 'permit subnet' — reverse and host X would match 'permit' first. <br><br><span style="color:#888">5.6.g.2 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.g weight_high
Trace exam method	Given packet + ACL, trace ACE-by-ACE until first match. Action at first match = the result. <br><br><span style="color:#888">5.6.g.3 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.g weight_high
Standard ACL near destination	Blocks all source traffic. Must place near destination so legitimate traffic isn't blocked en route. <br><br><span style="color:#888">5.6.h.1 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.h weight_high
Extended ACL near source	Specific match (src+dst+proto+port). Place near source to save bandwidth by dropping early. <br><br><span style="color:#888">5.6.h.2 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.h weight_high
Why placement matters	Wrong placement = traffic dropped unnecessarily OR consumes bandwidth before being dropped. <br><br><span style="color:#888">5.6.h.3 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.h weight_high
ACL placement decision	Given topology diagram, determine where to apply ACL. Standard → closest to dest. Extended → closest to source. <br><br><span style="color:#888">5.6.i.1 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.i weight_high
Scenario question method	Read: standard or extended? Read: source + destination. Apply the placement rule. Check direction. <br><br><span style="color:#888">5.6.i.2 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.i weight_high
ACL direction: in	Traffic ENTERING the router through this interface. Before routing decision. <br><br><span style="color:#888">5.6.j.1 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.j weight_high
ACL direction: out	Traffic LEAVING the router through this interface. After routing decision. <br><br><span style="color:#888">5.6.j.2 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.j weight_high
ip access-group [ACL] {in|out}	Apply ACL on an interface. Must specify direction. <br><br><span style="color:#888">5.6.j.3 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.j weight_high
Think from router's view	Direction is relative to the ROUTER, not the client. In = into router. Out = out of router. <br><br><span style="color:#888">5.6.j.4 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.j weight_high
access-class (VTY)	Apply ACL to VTY lines: 'access-class [ACL] in'. Controls who can SSH/Telnet to the router. <br><br><span style="color:#888">5.6.k.1 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.k weight_high
ip access-group (interface)	Apply ACL to physical interface: 'ip access-group [ACL] {in|out}'. Filters transit traffic. <br><br><span style="color:#888">5.6.k.2 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.k weight_high
Don't confuse the two	access-class for VTY, access-group for interfaces. Classic exam trap. <br><br><span style="color:#888">5.6.k.3 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.k weight_high
ACL edit — delete entry	Under 'ip access-list' sub-config: 'no [seq#]'. Removes a single ACE without affecting others. <br><br><span style="color:#888">5.6.l.1 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.l weight_high
ACL edit — insert entry	Type '[seq#] permit/deny ...' under the named ACL sub-config. Inserts at that sequence number. <br><br><span style="color:#888">5.6.l.2 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.l weight_high
ip access-list resequence	Renumber existing ACEs to open space for inserts. E.g., 'resequence myacl 10 10' → 10, 20, 30... <br><br><span style="color:#888">5.6.l.3 · weight: med</span>	ccna domain5 topic5.6 subtopic5.6.l weight_med
show access-lists	Displays all ACLs and their entries with match counts. Primary ACL verification command. <br><br><span style="color:#888">5.6.m.1 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.m weight_high
show ip interface [int]	Shows which ACL is applied on interface and direction. Useful for tracking application. <br><br><span style="color:#888">5.6.m.2 · weight: high</span>	ccna domain5 topic5.6 subtopic5.6.m weight_high
show ip access-lists	Like show access-lists but IPv4 only. Same output format. <br><br><span style="color:#888">5.6.m.3 · weight: med</span>	ccna domain5 topic5.6 subtopic5.6.m weight_med
DHCP snooping	L2 security feature. Blocks rogue DHCP servers. Only trusted ports forward DHCP offers. <br><br><span style="color:#888">5.7.a.1 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.a weight_high
Trusted vs untrusted ports	Trusted = facing legit DHCP server. Untrusted = user ports, block DHCP server messages (offers). <br><br><span style="color:#888">5.7.a.2 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.a weight_high
DHCP snooping binding table	IP ↔ MAC ↔ port ↔ VLAN. Built from observed DHCP transactions. Used by DAI and IP Source Guard. <br><br><span style="color:#888">5.7.a.3 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.a weight_high
ip dhcp snooping (global)	Enables DHCP snooping globally on switch. Step 1. <br><br><span style="color:#888">5.7.b.1 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.b weight_high
ip dhcp snooping vlan [#]	Enables snooping per-VLAN. Both global AND per-VLAN required. <br><br><span style="color:#888">5.7.b.2 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.b weight_high
ip dhcp snooping trust	Interface command on trusted port (uplink toward DHCP server). Default = untrusted. <br><br><span style="color:#888">5.7.b.3 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.b weight_high
Option 82 gotcha	By default DHCP snooping inserts Option 82. Relay may reject it. Use 'no ip dhcp snooping information option' if needed. <br><br><span style="color:#888">5.7.b.4 · weight: med</span>	ccna domain5 topic5.7 subtopic5.7.b weight_med
Binding table = DAI source	DAI uses the DHCP snooping binding table to validate ARP replies. Without snooping, DAI has no data. <br><br><span style="color:#888">5.7.c.1 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.c weight_high
show ip dhcp snooping binding	View the binding table: IP, MAC, port, VLAN, lease expiration. <br><br><span style="color:#888">5.7.c.2 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.c weight_high
DHCP starvation attack	Attacker requests many DHCP leases using spoofed MACs. Exhausts DHCP pool. Legit clients get denied. <br><br><span style="color:#888">5.7.d.1 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.d weight_high
DHCP starvation mitigation	DHCP snooping + port security (limit MACs) + rate limiting DHCP messages per port. <br><br><span style="color:#888">5.7.d.2 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.d weight_high
ip dhcp snooping limit rate	Per-port rate limit for DHCP packets. Prevents starvation and rogue flooding. <br><br><span style="color:#888">5.7.d.3 · weight: med</span>	ccna domain5 topic5.7 subtopic5.7.d weight_med
DAI (Dynamic ARP Inspection)	L2 security. Validates ARP replies against DHCP snooping binding table. Stops ARP spoofing. <br><br><span style="color:#888">5.7.e.1 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.e weight_high
DAI requires DHCP snooping	DAI uses the binding table that DHCP snooping builds. Enable snooping FIRST. <br><br><span style="color:#888">5.7.e.2 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.e weight_high
ip arp inspection vlan [#]	Enable DAI per VLAN. <br><br><span style="color:#888">5.7.e.3 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.e weight_high
ip arp inspection trust	Interface command. Trusted ports (uplinks) bypass ARP inspection. User ports = untrusted (default). <br><br><span style="color:#888">5.7.e.4 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.e weight_high
Dependency chain	DHCP snooping → populates binding table → DAI reads binding table → validates ARP. <br><br><span style="color:#888">5.7.f.1 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.f weight_high
Trust same ports on both	Port connecting to legit DHCP server + ARP source = trusted for both DHCP snooping AND DAI. <br><br><span style="color:#888">5.7.f.2 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.f weight_high
Full L2 security stack	Port security + DHCP snooping + DAI + IP Source Guard = comprehensive access-layer security. <br><br><span style="color:#888">5.7.f.3 · weight: med</span>	ccna domain5 topic5.7 subtopic5.7.f weight_med
Port security	L2 feature. Limits which MAC addresses can connect on a port. Prevents rogue device attachment. <br><br><span style="color:#888">5.7.g.1 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.g weight_high
Max MACs per port	Default 1 when enabled. Configurable with 'switchport port-security maximum [N]'. <br><br><span style="color:#888">5.7.g.2 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.g weight_high
Purpose	Stops MAC flooding attacks + enforces 'one-device-per-port' policies. First line of access-layer defense. <br><br><span style="color:#888">5.7.g.3 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.g weight_high
Port-security prereq	Port must be ACCESS mode. 'switchport mode access' first. Fails on trunk or dynamic. <br><br><span style="color:#888">5.7.h.1 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.h weight_high
switchport port-security	Interface command. Enables port security on the port. <br><br><span style="color:#888">5.7.h.2 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.h weight_high
maximum / mac-address	'port-security maximum [N]' sets max MACs. 'port-security mac-address [MAC]' statically allows specific MAC. <br><br><span style="color:#888">5.7.h.3 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.h weight_high
Config order	(1) mode access, (2) port-security enable, (3) max, (4) mac-address or sticky, (5) violation mode. <br><br><span style="color:#888">5.7.h.4 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.h weight_high
switchport port-security mac-address sticky	Auto-learn connected MACs and ADD them to running-config. Convenient — no manual MAC entry. <br><br><span style="color:#888">5.7.i.1 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.i weight_high
Sticky reboot gotcha	Sticky MACs are in RUNNING-config. Must 'copy run start' or they're lost on reboot (re-learned after). <br><br><span style="color:#888">5.7.i.2 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.i weight_high
Static vs sticky	Static = manually typed in config. Sticky = auto-learned but saved as static. Both persistent. <br><br><span style="color:#888">5.7.i.3 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.i weight_high
Protect mode	Drops violating frames silently. NO log, NO SNMP trap. Port stays up. Weakest enforcement. <br><br><span style="color:#888">5.7.j.1 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.j weight_high
Restrict mode	Drops violating frames + LOGS syslog/SNMP trap + increments counter. Port stays up. <br><br><span style="color:#888">5.7.j.2 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.j weight_high
Shutdown mode (default)	Port → err-disabled. Requires manual intervention. Logs + increments violation count. DEFAULT. <br><br><span style="color:#888">5.7.j.3 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.j weight_high
switchport port-security violation	Interface command. Takes 'protect', 'restrict', or 'shutdown'. Default is 'shutdown'. <br><br><span style="color:#888">5.7.j.4 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.j weight_high
err-disabled recovery manual	'shutdown' then 'no shutdown' on the port. Returns to normal operation. <br><br><span style="color:#888">5.7.k.1 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.k weight_high
errdisable recovery cause	Global command to auto-recover. E.g., 'errdisable recovery cause psecure-violation' enables auto-recovery from port security. <br><br><span style="color:#888">5.7.k.2 · weight: high</span>	ccna domain5 topic5.7 subtopic5.7.k weight_high
errdisable recovery interval	Time (seconds) before auto-recovery attempt. Default 300s. <br><br><span style="color:#888">5.7.k.3 · weight: med</span>	ccna domain5 topic5.7 subtopic5.7.k weight_med
Authentication	Proves WHO you are. Credentials verified (password, certificate, token). <br><br><span style="color:#888">5.8.a.1 · weight: high</span>	ccna domain5 topic5.8 subtopic5.8.a weight_high
Authorization	Defines WHAT you can do. Privilege levels, command restrictions, access scope. <br><br><span style="color:#888">5.8.a.2 · weight: high</span>	ccna domain5 topic5.8 subtopic5.8.a weight_high
Accounting	Records WHAT you DID. Audit trail of actions for compliance and forensics. <br><br><span style="color:#888">5.8.a.3 · weight: high</span>	ccna domain5 topic5.8 subtopic5.8.a weight_high
AAA order	Authenticate first → Authorize → Account. Order matters — can't authorize unknown user. <br><br><span style="color:#888">5.8.a.4 · weight: med</span>	ccna domain5 topic5.8 subtopic5.8.a weight_med
Privilege levels	0-15. 15 = full access (enable). 1 = user-mode. Custom levels let you authorize specific commands. <br><br><span style="color:#888">5.8.b.1 · weight: high</span>	ccna domain5 topic5.8 subtopic5.8.b weight_high
Per-command authorization	TACACS+ feature. Authorize/deny individual IOS commands per user. RADIUS can't do this. <br><br><span style="color:#888">5.8.b.2 · weight: high</span>	ccna domain5 topic5.8 subtopic5.8.b weight_high
privilege exec level	Assign commands to custom privilege levels. Enables role-based access without full enable rights. <br><br><span style="color:#888">5.8.b.3 · weight: med</span>	ccna domain5 topic5.8 subtopic5.8.b weight_med
Accounting purpose	Audit trail. Records who logged in, what commands they ran, when they logged out. For compliance and forensics. <br><br><span style="color:#888">5.8.c.1 · weight: high</span>	ccna domain5 topic5.8 subtopic5.8.c weight_high
Accounting methods	Commands, exec (session start/stop), system events. Each can be logged separately. <br><br><span style="color:#888">5.8.c.2 · weight: med</span>	ccna domain5 topic5.8 subtopic5.8.c weight_med
Compliance value	HIPAA, PCI-DSS, SOX require audit trails. Accounting provides the evidence for audits. <br><br><span style="color:#888">5.8.c.3 · weight: med</span>	ccna domain5 topic5.8 subtopic5.8.c weight_med
Device admin → TACACS+	Cisco-proprietary. Full packet encryption. Separates AAA. Per-command authorization. Ideal for router/switch mgmt. <br><br><span style="color:#888">5.8.d.1 · weight: high</span>	ccna domain5 topic5.8 subtopic5.8.d weight_high
Network access → RADIUS	Open standard. 802.1X wired/wireless, VPN authentication, WPA2-Enterprise. Multi-vendor. <br><br><span style="color:#888">5.8.d.2 · weight: high</span>	ccna domain5 topic5.8 subtopic5.8.d weight_high
RADIUS recap	UDP 1812/1813. Open standard. Only password encrypted. Combines auth+authz. Network ACCESS. <br><br><span style="color:#888">5.8.e.1 · weight: high</span>	ccna domain5 topic5.8 subtopic5.8.e weight_high
TACACS+ recap	TCP 49. Cisco proprietary. FULL packet encryption. Separates AAA. Device ADMIN. <br><br><span style="color:#888">5.8.e.2 · weight: high</span>	ccna domain5 topic5.8 subtopic5.8.e weight_high
Protocol/port summary	RADIUS=UDP 1812/1813. TACACS+=TCP 49. This is tested every exam cycle. <br><br><span style="color:#888">5.8.e.3 · weight: high</span>	ccna domain5 topic5.8 subtopic5.8.e weight_high
802.1X Supplicant	Client device requesting access. Runs 802.1X software. Provides credentials. <br><br><span style="color:#888">5.8.f.1 · weight: high</span>	ccna domain5 topic5.8 subtopic5.8.f weight_high
802.1X Authenticator	Switch/WLC. Intermediate device. Forwards credentials from supplicant to authentication server. Enforces decision. <br><br><span style="color:#888">5.8.f.2 · weight: high</span>	ccna domain5 topic5.8 subtopic5.8.f weight_high
802.1X Authentication Server	Typically RADIUS server (Cisco ISE, Microsoft NPS). Validates credentials against user database. <br><br><span style="color:#888">5.8.f.3 · weight: high</span>	ccna domain5 topic5.8 subtopic5.8.f weight_high
EAP	Extensible Authentication Protocol. Framework 802.1X uses. EAP-TLS, PEAP, EAP-FAST are common methods. <br><br><span style="color:#888">5.8.f.4 · weight: med</span>	ccna domain5 topic5.8 subtopic5.8.f weight_med
WEP	Original wireless encryption. RC4 cipher. COMPLETELY BROKEN. Never use. <br><br><span style="color:#888">5.9.a.1 · weight: high</span>	ccna domain5 topic5.9 subtopic5.9.a weight_high
